品牌名称,买家昵称,付款日期,订单状态,实付金额,邮费,省份,城市,购买数量,下单次数
SW,筱煜,2020/1/7 12:44,交易成功,40,0,浙江省,杭州市,1,8
SW,黄dearjoh锐,2020/1/7 13:45,交易成功,49,0,安徽省,合肥市,2,12
SW,ashiyanzhangn,2020/1/7 15:45,交易成功,39,0,吉林省,白城市,2,6
SW,amantouvivn,2020/1/7 17:15,交易成功,240,0,北京,北京市,1,11
SW,amantouvivn,2020/1/7 17:16,交易成功,267,0,河北省,沧州市,1,18
SW,2a5678,2020/1/7 17:17,交易成功,112,0,上海,上海市,5,10
SW,1fligh9,2020/1/7 20:03,交易成功,105,6,上海,上海市,1,11
SW,1fligh9,2020/1/7 20:15,交易成功,165,6,上海,上海市,1,1
SW,2中信红树2,2020/1/7 20:41,交易成功,206,0,江苏省,南京市,1,15
SW,2fushuyi51,2020/1/7 20:58,交易成功,123,0,浙江省,金华市,1,8
SW,星晴,2020/1/7 21:00,交易成功,49,0,云南省,昆明市,2,6
SW,3forevereve3,2020/1/7 21:13,交易成功,39,0,上海,上海市,2,8
SW,9wayne89,2020/1/7 22:01,交易成功,149,0,浙江省,杭州市,1,4
SW,ubarbiewawaa,2020/1/8 0:01,交易成功,149,0,广东省,佛山市,1,14
SW,6姚景明8,2020/1/8 2:48,交易成功,206,8,广东省,广州市,1,1
SW,1love淼23,2020/1/8 5:40,交易成功,244,0,山东省,青岛市,1,2
SW,1美人草9,2020/1/8 5:46,交易成功,40,0,浙江省,杭州市,1,1
SW,橙小狮子爱子,2020/1/8 7:39,交易成功,217,0,安徽省,合肥市,1,9
SW,d曾德y,2020/1/8 8:12,交易成功,214,0,广东省,广州市,1,7
SW,1tb343981,2020/1/8 8:58,交易成功,182,8,福建省,福州市,1,12
SW,iloc,2020/1/8 9:44,交易成功,265,8,山东省,烟台市,1,12
SW,ocancanm9,2020/1/8 10:00,交易成功,162,0,上海,上海市,1,5
SW,9tb953536,2020/1/8 10:00,交易成功,137,0,福建省,厦门市,1,1
SW,9qinnan11,2020/1/8 10:00,交易成功,248,0,陕西省,西安市,1,5
SW,1吴惠0,2020/1/8 10:05,交易成功,255,8,广东省,汕尾市,1,9
SW,0lily0,2020/1/8 11:23,交易成功,49,0,浙江省,杭州市,1,6
SW,0tb07575860,2020/1/8 12:21,交易成功,258,8,福建省,福州市,1,11
SW,_向日葵盛开的夏d,2020/1/8 12:33,交易成功,127,0,山东省,济南市,1,2
SW,己菁儿（相信）,2020/1/8 12:43,交易成功,226,0,江苏省,南通市,1,7
SW,2yonaka1,2020/1/8 12:51,交易成功,268,0,上海,上海市,1,5
SW,2天空之城8,2020/1/8 13:53,交易成功,149,0,福建省,厦门市,1,7
SW,1jiayanyan5,2020/1/8 15:43,交易成功,149,0,河南省,洛阳市,2,1
SW,0zhangyiji7,2020/1/8 15:44,交易成功,84,0,浙江省,杭州市,1,6
SW,o小綺r,2020/1/8 15:50,交易成功,74,0,广东省,佛山市,1,12
SW,9zhouxu4,2020/1/8 16:33,交易成功,74,0,江苏省,连云港市,1,6
SW,木孤傲槿,2020/1/8 20:27,交易成功,223,8,北京,北京市,1,6
SW,eminiminihoy,2020/1/8 20:40,交易成功,129,0,广东省,茂名市,1,4
SW,5zjw0,2020/1/8 20:55,交易成功,250,0,江苏省,南京市,1,11
SW,5icy9,2020/1/8 20:57,交易成功,68,0,福建省,泉州市,4,4
SW,0tb20195120,2020/1/8 21:08,交易成功,171,0,重庆,重庆市,1,6
SW,7溜溜1157916,2020/1/8 22:20,交易成功,74,0,安徽省,淮北市,1,2
SW,9tb_89430,2020/1/8 22:32,交易成功,149,0,海南省,海口市,1,12
SW,0勤劳蜜蜂198716,2020/1/8 22:41,交易成功,140,0,安徽省,合肥市,1,7
SW,脑蒙奇袋,2020/1/8 22:45,交易成功,74,0,上海,上海市,1,11
SW,雨晴,2020/1/8 23:00,交易成功,89,0,广东省,深圳市,3,8
SW,6小钟加油吧6666,2020/1/9 8:25,交易成功,210,0,福建省,漳州市,1,6
SW,1smile19917,2020/1/9 10:00,交易成功,182,0,江苏省,南京市,1,2
SW,1冰雨蝶21,2020/1/9 10:00,交易成功,159,0,辽宁省,沈阳市,1,8
SW,umenglui,2020/1/9 10:00,交易成功,246,0,上海,上海市,1,9
SW,物我爱店,2020/1/9 10:00,交易成功,238,0,河北省,承德市,1,1
SW,的陈茶,2020/1/9 10:19,交易成功,179,0,广东省,广州市,1,12
SW,摆摇摆摆,2020/1/9 11:29,交易成功,216,8,北京,北京市,1,7
SW,9jessicazhou91,2020/1/9 11:32,交易成功,140,0,贵州省,贵阳市,1,7
SW,1k1147653,2020/1/9 11:44,交易成功,148,10,四川省,泸州市,1,3
SW,爪赞,2020/1/9 18:13,交易成功,139,8,福建省,泉州市,1,6
SW,0qw10347674,2020/1/9 19:29,交易成功,160,0,江苏省,无锡市,1,13
SW,奇隔壁家的奇,2020/1/9 20:41,交易成功,74,0,上海,上海市,1,10
SW,y大牌女主角ye,2020/1/9 21:37,交易成功,110,10,云南省,文山壮族苗族自治州,1,6
SW,娜土屋0,2020/1/9 21:49,交易成功,148,6,浙江省,温州市,1,6
SW,3yuji10,2020/1/9 21:56,交易成功,44,0,浙江省,杭州市,2,5
SW,9yan5,2020/1/9 23:21,交易成功,84,0,广东省,广州市,1,6
SW,1tb6600981_22,2020/1/10 3:41,交易成功,98,0,上海,上海市,4,14
SW,e陈羽sor,2020/1/10 5:38,交易成功,114,0,上海,上海市,1,7
SW,9qq2779756,2020/1/10 10:00,交易成功,148,0,陕西省,榆林市,1,7
SW,文萃,2020/1/10 10:00,交易成功,223,0,上海,上海市,1,12
SW,2py200419,2020/1/10 10:00,交易成功,190,0,广东省,广州市,1,11
SW,ullsel,2020/1/10 10:00,交易成功,225,0,湖南省,湘潭市,1,11
SW,alilyxiongshangi,2020/1/10 11:44,交易成功,50,0,上海,上海市,4,5
SW,6t_1491836070529_03,2020/1/10 13:00,交易成功,192,0,广东省,东莞市,1,11
SW,酱emma酱,2020/1/10 15:23,交易成功,84,0,上海,上海市,1,1
SW,2feifei2123,2020/1/10 16:15,交易成功,267,0,江苏省,常州市,1,6
SW,fczh8888f,2020/1/10 21:20,交易成功,219,0,福建省,龙岩市,1,6
SW,1xiaoling6100,2020/1/10 23:55,交易成功,50,0,上海,上海市,2,8
SW,1tb4000841_22,2020/1/11 0:15,交易成功,156,0,江苏省,无锡市,2,1
SW,没奢华落,2020/1/11 0:20,交易成功,65,0,陕西省,西安市,1,12
SW,吃我看起来吗,2020/1/11 0:37,交易成功,72,0,江苏省,无锡市,1,10
SW,3生生24,2020/1/11 0:39,交易成功,201,0,广东省,惠州市,1,8
SW,6130606d,2020/1/11 1:00,交易成功,44,0,广东省,深圳市,4,8
SW,2thclj0807,2020/1/11 1:02,交易成功,63,0,陕西省,西安市,1,10
SW,1phoenix20052225,2020/1/11 1:08,交易成功,79,0,安徽省,合肥市,1,11
SW,1王小胖03,2020/1/11 1:08,交易成功,72,0,湖南省,长沙市,1,3
SW,1tb2039312_20,2020/1/11 1:08,交易成功,84,0,陕西省,西安市,1,11
SW,2liuning00,2020/1/11 1:08,交易成功,82,0,云南省,昆明市,1,6
SW,2tb11ab,2020/1/11 1:08,交易成功,79,0,上海,上海市,1,8
SW,vlovecarriele,2020/1/11 1:08,交易成功,186,0,广东省,深圳市,1,1
SW,世泡泡的小界,2020/1/11 1:08,交易成功,82,0,江苏省,无锡市,1,4
SW,ijuma,2020/1/11 1:08,交易成功,68,0,上海,上海市,1,2
SW,0moto75,2020/1/11 1:08,交易成功,169,0,北京,北京市,1,6
SW,移迁客,2020/1/11 1:08,交易成功,79,0,山东省,威海市,1,8
SW,苑fionaron佳,2020/1/11 1:08,交易成功,72,0,浙江省,湖州市,1,11
SW,5tb69028,2020/1/11 1:08,交易成功,77,0,广东省,广州市,1,11
SW,小丸,2020/1/11 1:08,交易成功,66,0,四川省,成都市,1,6
SW,2丁丁09,2020/1/11 1:08,交易成功,66,0,上海,上海市,1,6
SW,afionaleexn,2020/1/11 1:08,交易成功,116,0,上海,上海市,1,4
SW,可王儿,2020/1/11 1:08,交易成功,72,0,河北省,保定市,1,15
SW,e左的的w,2020/1/11 1:08,交易成功,72,0,海南省,海口市,1,4
SW,玖爱玖,2020/1/11 1:08,交易成功,82,0,湖南省,长沙市,1,6
SW,2离开水的鱼儿5,2020/1/11 1:08,交易成功,84,0,江苏省,南通市,1,9
SW,0syh2012,2020/1/11 1:08,交易成功,79,0,上海,上海市,1,8
SW,的吹泡狗,2020/1/11 1:08,交易成功,65,0,贵州省,贵阳市,1,2
SW,3玻璃娃200610,2020/1/11 1:08,交易成功,220,0,福建省,泉州市,1,13
SW,2t_1483766657517_02,2020/1/11 1:08,交易成功,117,0,广东省,东莞市,1,12
SW,爱钱小姐钱,2020/1/11 1:08,交易成功,84,0,福建省,福州市,1,11
SW,月落浅,2020/1/11 1:08,交易成功,82,0,湖北省,武汉市,1,8
SW,9rearrangin1,2020/1/11 1:08,交易成功,241,0,上海,上海市,1,4
SW,0hwj39,2020/1/11 1:08,交易成功,79,0,江苏省,常州市,1,12
SW,8anthem88,2020/1/11 1:08,交易成功,66,0,上海,上海市,1,2
SW,0dkzk29,2020/1/11 1:08,交易成功,79,0,山东省,滨州市,1,5
SW,泡李泡,2020/1/11 1:08,交易成功,74,0,河南省,郑州市,1,6
SW,8meier_12,2020/1/11 1:09,交易成功,69,0,上海,上海市,1,2
SW,qpauld,2020/1/11 1:09,交易成功,168,0,山东省,青岛市,2,5
SW,ncaoxianxig,2020/1/11 1:09,交易成功,63,0,山东省,临沂市,1,3
SW,iphyliasopa,2020/1/11 1:09,交易成功,34,0,上海,上海市,1,4
SW,乱小熊吧,2020/1/11 1:09,交易成功,72,0,江苏省,南京市,1,9
SW,axiamimaii,2020/1/11 1:09,交易成功,74,0,山东省,东营市,1,11
SW,2paopao8,2020/1/11 1:09,交易成功,79,0,四川省,成都市,1,5
SW,1angel7,2020/1/11 1:09,交易成功,30,0,上海,上海市,2,7
SW,尘_子,2020/1/11 1:09,交易成功,74,0,广东省,佛山市,1,11
SW,s_133348,2020/1/11 1:09,交易成功,66,0,上海,上海市,1,7
SW,之动物旅,2020/1/11 1:09,交易成功,79,0,北京,北京市,1,5
SW,0rensha1,2020/1/11 1:09,交易成功,77,0,陕西省,西安市,1,4
SW,e雪flurrs,2020/1/11 1:09,交易成功,64,0,湖南省,长沙市,1,8
SW,8liujl_2008,2020/1/11 1:09,交易成功,74,0,山西省,晋中市,1,15
SW,流1,2020/1/11 1:09,交易成功,74,0,上海,上海市,1,6
SW,笑落泪嘴8,2020/1/11 1:09,交易成功,192,0,上海,上海市,2,5
SW,rzuoerstrawbey,2020/1/11 1:09,交易成功,74,0,北京,北京市,1,4
SW,万化风,2020/1/11 1:09,交易成功,82,0,上海,上海市,1,11
SW,5许逸1236,2020/1/11 1:09,交易成功,79,0,江苏省,苏州市,1,10
SW,0tracyla6,2020/1/11 1:09,交易成功,64,0,上海,上海市,1,2
SW,思遥远,2020/1/11 1:09,交易成功,79,0,福建省,福州市,1,3
SW,1jiandan08,2020/1/11 1:09,交易成功,82,0,福建省,泉州市,1,4
SW,小lv乐,2020/1/11 1:09,交易成功,173,0,福建省,漳州市,1,9
SW,悠无悠,2020/1/11 1:09,交易成功,79,0,北京,北京市,1,6
SW,8nanji6,2020/1/11 1:09,交易成功,66,0,北京,北京市,1,7
SW,asmallpii,2020/1/11 1:09,交易成功,206,0,上海,上海市,2,8
SW,主红花村村任,2020/1/11 1:09,交易成功,72,0,浙江省,温州市,1,12
SW,lcarolwis,2020/1/11 1:09,交易成功,66,0,上海,上海市,1,12
SW,3vivi0014,2020/1/11 1:09,交易成功,84,0,福建省,厦门市,1,9
SW,4喜洋洋11,2020/1/11 1:09,交易成功,79,0,上海,上海市,1,7
SW,1x_t_x4,2020/1/11 1:09,交易成功,64,0,广东省,深圳市,1,10
SW,t欢y,2020/1/11 1:09,交易成功,72,0,上海,上海市,1,9
SW,6wu85008,2020/1/11 1:09,交易成功,66,0,广东省,广州市,1,8
SW,6天藍若空8,2020/1/11 1:09,交易成功,35,0,广东省,深圳市,2,11
SW,面一百斤码,2020/1/11 1:09,交易成功,72,0,上海,上海市,1,3
SW,2小石头201115,2020/1/11 1:09,交易成功,79,0,辽宁省,沈阳市,1,2
SW,0在一起090608,2020/1/11 1:09,交易成功,40,0,山东省,青岛市,3,14
SW,我天使心,2020/1/11 1:09,交易成功,69,0,上海,上海市,1,6
SW,cvivij,2020/1/11 1:09,交易成功,74,0,浙江省,台州市,1,5
SW,子游,2020/1/11 1:09,交易成功,79,0,辽宁省,沈阳市,1,5
SW,福嗨妹,2020/1/11 1:09,交易成功,74,0,陕西省,西安市,1,11
SW,ehyjlou,2020/1/11 1:09,交易成功,63,0,上海,上海市,1,5
SW,2lsugar8,2020/1/11 1:09,交易成功,82,0,广东省,深圳市,1,8
SW,白青云,2020/1/11 1:09,交易成功,72,0,广西壮族自治区,贵港市,1,6
SW,健达,2020/1/11 1:09,交易成功,82,0,上海,上海市,1,7
SW,沐hell沐,2020/1/11 1:09,交易成功,83,0,上海,上海市,1,8
SW,丑大丑,2020/1/11 1:09,交易成功,74,0,广东省,深圳市,1,8
SW,1优宝麻麻24,2020/1/11 1:09,交易成功,79,0,福建省,福州市,1,3
SW,pmmt,2020/1/11 1:09,交易成功,82,0,上海,上海市,1,3
SW,nsuki,2020/1/11 1:09,交易成功,72,0,上海,上海市,1,6
SW,4liyaran26,2020/1/11 1:09,交易成功,75,0,河北省,石家庄市,1,5
SW,oe_passn,2020/1/11 1:09,交易成功,79,0,上海,上海市,1,4
SW,nsu妆,2020/1/11 1:09,交易成功,89,0,上海,上海市,4,9
SW,n邱浓n,2020/1/11 1:09,交易成功,72,0,福建省,泉州市,1,5
SW,3慕色妃5,2020/1/11 1:09,交易成功,42,0,天津,天津市,3,5
