order_id,user_id,price,platform,payment_provider,create_time,pay_time
249,30121325,25,ios,applepay,2019/10/13 15:48,2020/4/1 12:04
251,83404388,68,android,wxpay,2019/8/8 8:31,2019/8/8 8:32
252,88909360,68,ios,applepay,2019/11/29 22:29,2020/4/1 12:04
254,37794449,248,android,wxpay,2019/8/31 20:55,2019/8/31 20:56
255,85407580,68,android,wxpay,2020/1/31 9:26,2020/1/31 9:27
263,106145590,248,android,wxpay,2020/1/14 0:56,2020/1/14 0:59
264,52108363,248,ios,applepay,2019/9/13 15:31,2020/4/1 12:03
265,105361111,25,ios,applepay,2020/3/2 6:51,2020/4/1 12:06
270,103100827,25,android,wxpay,2020/1/22 7:15,2020/1/22 7:16
274,102564913,248,android,wxpay,2019/8/1 13:08,2019/8/1 13:09
279,96490558,25,android,wxpay,2020/7/4 1:11,2020/7/4 1:12
281,81685692,25,ios,applepay,2019/9/27 18:06,2020/4/1 12:04
282,81685692,25,ios,applepay,2020/1/7 2:13,2020/4/1 12:05
283,55415568,248,ios,applepay,2020/6/24 10:38,2020/6/24 10:39
290,106271276,248,android,wxpay,2019/9/21 18:48,2019/9/21 18:49
293,11059154,248,ios,applepay,2019/9/9 20:47,2019/9/10 12:53
295,104086695,25,ios,applepay,2019/9/1 9:40,2020/4/1 12:03
296,104086695,25,ios,applepay,2020/2/23 8:38,2020/4/1 12:05
297,104086695,25,ios,applepay,2020/6/22 6:51,2020/6/22 6:52
298,107903046,68,ios,applepay,2020/5/1 15:06,2020/5/1 15:07
299,99634441,248,ios,applepay,2020/2/8 11:56,2020/4/1 12:05
300,104289885,248,ios,applepay,2019/11/21 17:29,2020/4/1 12:04
304,80103517,25,android,alipay,2019/8/19 14:45,2019/8/19 14:46
308,22355892,25,android,wxpay,2020/1/17 9:43,2020/1/17 9:44
312,80896467,248,ios,applepay,2019/9/8 19:42,2020/4/1 12:03
315,89775142,248,ios,applepay,2020/7/18 12:00,2020/7/18 12:01
319,79778162,68,ios,applepay,2019/10/8 7:32,2020/4/1 12:04
320,79778162,248,ios,applepay,2020/5/3 10:15,2020/5/3 10:16
322,105714477,68,ios,applepay,2019/11/3 12:53,2020/4/1 12:04
324,107224787,248,ios,applepay,2020/2/6 18:02,2020/4/1 12:05
329,84097720,68,ios,applepay,2020/1/27 9:41,2020/1/27 12:13
332,102153607,25,android,wxpay,2019/9/11 23:17,2019/9/11 23:18
333,20667169,25,android,wxpay,2019/10/21 6:01,2019/10/21 6:02
336,108037268,68,ios,applepay,2019/8/5 8:09,2020/4/1 12:03
340,106745185,25,ios,applepay,2019/11/16 13:57,2020/4/1 12:04
345,104872351,25,android,wxpay,2019/9/10 0:03,2019/9/10 0:04
347,97648044,248,ios,applepay,2019/8/28 7:26,2020/4/1 12:03
354,93051096,25,android,wxpay,2019/9/1 19:38,2019/9/1 19:39
355,48208836,248,ios,applepay,2020/2/4 10:59,2020/4/1 12:05
357,106028689,68,ios,applepay,2020/1/3 14:14,2020/1/3 14:37
359,9585909,25,android,wxpay,2019/8/25 21:32,2019/8/25 21:34
360,31620012,68,ios,applepay,2020/2/23 17:25,2020/2/24 14:40
365,84446618,248,android,alipay,2019/10/5 10:58,2019/10/5 10:59
366,88320383,248,android,wxpay,2019/12/2 14:56,2019/12/2 14:57
368,98126926,25,android,wxpay,2020/3/6 12:12,2020/3/6 12:13
374,13533024,248,android,wxpay,2020/6/3 7:29,2020/6/3 7:30
376,22090733,248,ios,applepay,2020/6/4 20:18,2020/6/4 20:19
379,28177132,68,ios,applepay,2019/11/9 0:13,2020/4/1 12:04
380,28177132,68,ios,applepay,2020/7/5 17:01,2020/7/5 17:02
382,43319440,248,ios,applepay,2020/6/10 2:16,2020/6/10 2:17
386,79978028,248,ios,applepay,2019/10/4 10:49,2020/4/1 12:04
387,83269215,248,ios,applepay,2020/2/12 10:54,2020/4/1 12:05
388,98479160,25,ios,applepay,2019/10/17 7:50,2020/4/1 12:04
389,91622573,248,android,wxpay,2020/2/23 17:57,2020/2/23 17:58
399,19705869,25,ios,applepay,2019/9/24 6:49,2019/9/25 9:43
405,90262483,248,android,wxpay,2020/6/4 20:19,2020/6/4 20:20
406,93995364,248,ios,applepay,2019/9/12 23:55,2020/4/1 12:03
407,108056058,25,ios,applepay,2019/11/25 20:03,2020/4/1 12:04
408,108056058,248,ios,applepay,2020/2/26 23:07,2020/2/26 23:08
411,36632415,248,ios,applepay,2019/10/7 8:06,2020/4/1 12:04
412,14779335,25,ios,applepay,2019/9/2 0:37,2020/4/1 12:03
413,91387277,68,android,wxpay,2019/9/24 19:33,2019/9/24 19:34
414,91387277,68,android,wxpay,2020/3/22 6:02,2020/3/22 6:03
416,93885427,25,ios,wxpay,2019/9/16 11:33,2019/9/16 11:34
424,105712600,68,ios,applepay,2019/9/19 7:54,2020/4/1 12:03
425,73847522,248,ios,applepay,2020/3/3 10:44,2020/4/1 12:06
426,27231453,68,ios,applepay,2019/11/13 7:03,2020/4/1 12:04
428,86679047,248,ios,applepay,2019/11/8 22:24,2020/4/1 12:04
429,97783135,248,ios,applepay,2020/2/4 14:54,2020/4/1 12:05
430,77474205,25,ios,applepay,2019/9/26 15:09,2020/4/1 12:04
434,80145968,25,android,wxpay,2020/1/8 12:52,2020/1/8 12:53
446,94135219,248,ios,applepay,2019/9/22 19:23,2020/4/1 12:04
452,15013034,25,ios,applepay,2019/9/8 21:48,2020/4/1 12:03
454,102555131,248,ios,applepay,2019/12/23 19:46,2020/4/1 12:05
457,80312948,68,android,wxpay,2020/2/5 20:23,2020/2/5 20:24
463,41858921,248,ios,applepay,2019/12/23 21:21,2020/4/1 12:05
466,105806425,68,ios,applepay,2019/12/10 19:44,2020/4/1 12:05
467,89878521,25,android,wxpay,2020/5/30 12:22,2020/5/30 12:23
471,36540102,248,android,wxpay,2019/10/16 7:04,2019/10/16 7:05
473,104137801,25,android,wxpay,2020/1/30 16:00,2020/1/30 16:01
478,92996014,68,android,wxpay,2019/9/10 13:57,2019/9/10 13:58
480,60558647,25,ios,applepay,2019/10/9 8:25,2020/4/1 12:04
482,104600894,25,ios,applepay,2019/10/30 22:40,2020/4/1 12:04
483,104600894,25,ios,applepay,2020/5/13 9:51,2020/5/13 9:52
489,62792047,25,ios,applepay,2019/9/23 23:45,2019/9/24 13:28
491,52445749,248,android,wxpay,2020/7/14 6:27,2020/7/14 6:28
492,71656195,68,android,wxpay,2020/3/14 23:33,2020/3/14 23:34
498,28527019,25,ios,applepay,2019/9/8 8:11,2020/4/1 12:03
501,106741810,68,ios,applepay,2019/9/30 18:43,2020/4/1 12:04
504,58935900,248,android,wxpay,2019/12/10 10:00,2019/12/10 10:01
508,28718892,248,android,wxpay,2020/2/9 20:05,2020/2/9 20:06
510,10093272,248,android,alipay,2019/9/3 14:18,2019/9/3 14:19
511,54488793,25,android,wxpay,2019/11/29 22:33,2019/11/29 22:34
514,104544311,248,ios,applepay,2020/2/14 8:16,2020/4/1 12:05
515,80323385,248,ios,applepay,2019/11/16 16:59,2020/4/1 12:04
520,53662512,25,android,alipay,2020/1/22 12:55,2020/1/22 12:56
521,53662512,68,android,alipay,2020/4/20 16:53,2020/4/20 16:54
522,97896862,25,ios,applepay,2019/9/23 8:07,2020/4/1 12:04
523,97896862,68,ios,applepay,2019/12/17 18:54,2020/4/1 12:05
524,20589797,25,ios,applepay,2019/10/19 21:42,2020/4/1 12:04
525,71836281,25,android,wxpay,2019/12/20 3:21,2019/12/20 3:22
526,80466784,25,ios,applepay,2019/9/20 21:46,2020/4/1 12:03
538,11022709,25,ios,applepay,2019/8/11 9:39,2020/4/1 12:03
539,106888700,25,android,wxpay,2020/2/23 23:26,2020/2/23 23:27
547,107450460,25,android,wxpay,2020/3/8 21:34,2020/3/8 21:35
549,91704702,68,ios,applepay,2020/7/1 5:26,2020/7/1 5:27
553,99701759,248,ios,applepay,2019/8/26 13:23,2020/4/1 12:03
555,48182317,25,ios,applepay,2020/2/2 8:58,2020/4/1 12:05
557,101205853,25,android,alipay,2019/8/7 9:31,2019/8/7 9:32
559,19622643,248,android,alipay,2020/2/7 22:56,2020/2/7 22:57
561,52225498,25,android,wxpay,2020/6/23 10:03,2020/6/23 10:04
562,80337514,248,android,wxpay,2019/12/7 12:08,2019/12/7 12:09
563,75701276,68,android,alipay,2020/1/10 0:50,2020/1/10 0:51
564,101186152,68,android,alipay,2019/11/8 11:15,2019/11/8 11:16
569,83428906,68,android,wxpay,2019/8/4 22:59,2019/8/4 23:00
572,55920013,25,android,wxpay,2020/3/17 20:00,2020/3/17 20:01
573,13241202,248,ios,applepay,2020/3/31 21:22,2020/4/1 12:06
575,108013879,248,ios,applepay,2019/9/16 10:38,2020/4/1 12:03
576,57182178,248,ios,applepay,2020/2/2 15:43,2020/2/3 19:35
577,81672841,25,ios,applepay,2019/9/18 11:09,2020/4/1 12:03
578,81672841,25,ios,applepay,2020/6/26 13:46,2020/6/26 13:47
580,68160514,68,ios,applepay,2019/11/6 13:41,2020/4/1 12:04
582,66280002,25,ios,applepay,2019/9/11 5:58,2020/4/1 12:03
583,66280002,248,ios,applepay,2019/12/8 8:44,2020/4/1 12:05
590,81840579,68,android,wxpay,2020/1/5 8:38,2020/1/5 8:39
593,108238566,248,android,wxpay,2020/6/24 10:37,2020/6/24 10:38
595,84529800,248,android,wxpay,2019/10/3 17:24,2019/10/3 17:25
598,107499618,248,android,wxpay,2019/12/16 6:52,2019/12/16 6:55
600,18879147,25,android,wxpay,2019/8/24 10:59,2019/8/24 11:00
603,44939748,248,android,alipay,2020/3/7 10:51,2020/3/7 10:52
605,56745941,25,ios,applepay,2019/11/24 9:15,2020/4/1 12:04
611,106376951,25,android,wxpay,2019/9/26 19:50,2019/9/26 19:51
612,31281334,25,ios,applepay,2019/11/8 7:30,2020/4/1 12:04
613,22454267,25,ios,applepay,2020/5/12 12:43,2020/5/12 12:44
614,82828336,248,ios,applepay,2020/2/7 11:48,2020/4/1 12:05
616,104389388,25,android,wxpay,2019/11/24 23:18,2019/11/24 23:19
617,104389388,68,android,wxpay,2020/4/4 19:20,2020/4/4 19:21
622,71961323,248,android,wxpay,2019/8/5 13:11,2019/8/5 13:12
625,24392892,25,ios,applepay,2019/9/17 16:21,2020/4/1 12:03
631,100997284,25,ios,applepay,2019/9/19 13:03,2020/4/1 12:03
636,30418490,68,ios,applepay,2020/1/25 12:05,2020/4/1 12:05
642,49965354,68,android,wxpay,2020/2/13 11:09,2020/2/13 11:10
644,76252250,25,android,wxpay,2020/3/10 11:04,2020/3/10 11:05
645,33838361,248,ios,applepay,2020/2/1 18:25,2020/4/1 12:05
652,62263518,248,android,wxpay,2020/7/23 0:07,2020/7/23 0:08
656,107581120,68,android,wxpay,2020/2/22 16:41,2020/2/22 16:42
658,15073821,248,android,alipay,2019/10/22 13:14,2019/10/22 13:15
663,20328471,248,android,wxpay,2019/12/21 9:01,2019/12/21 9:02
665,90348293,248,android,alipay,2019/11/27 21:03,2019/11/27 21:04
667,43806145,248,android,wxpay,2019/12/23 16:15,2019/12/23 16:17
670,108195472,25,ios,applepay,2019/9/22 23:11,2020/4/1 12:04
675,52088057,248,android,wxpay,2020/6/6 9:21,2020/6/6 9:22
680,59397500,248,ios,applepay,2019/8/22 22:44,2020/4/1 12:03
682,86533299,25,ios,applepay,2019/9/17 23:11,2020/4/1 12:03
683,86533299,25,ios,applepay,2019/12/30 9:28,2020/4/1 12:05
685,66656154,248,ios,applepay,2020/7/3 16:00,2020/7/3 16:01
687,78566063,68,android,wxpay,2020/5/27 9:38,2020/5/27 9:39
690,83674682,248,android,wxpay,2019/9/10 20:51,2019/9/10 20:52
691,71592725,248,android,alipay,2019/11/6 9:37,2019/11/6 9:38
693,94362443,248,android,wxpay,2019/11/3 23:41,2019/11/3 23:42
697,81784949,248,android,alipay,2020/3/1 22:52,2020/3/1 22:53
699,107303622,25,ios,applepay,2019/9/11 8:15,2020/4/1 12:03
700,17116633,25,ios,applepay,2019/9/18 14:56,2020/4/1 12:03
701,17116633,68,ios,applepay,2019/12/20 12:15,2020/4/1 12:05
704,89310308,68,android,wxpay,2020/3/25 19:33,2020/3/25 19:34
707,97872639,25,ios,applepay,2019/11/12 21:54,2019/11/13 9:51
708,105525392,248,android,wxpay,2020/2/9 23:22,2020/2/9 23:23
709,55586565,25,android,wxpay,2020/5/16 21:20,2020/5/16 21:21
711,43478035,248,android,wxpay,2019/10/6 15:43,2019/10/6 15:44
712,99101726,248,android,wxpay,2019/10/25 13:51,2019/10/25 13:52
713,38393992,25,ios,applepay,2019/12/26 6:48,2020/4/1 12:05
714,38393992,25,ios,applepay,2020/4/21 16:32,2020/4/21 16:33
717,94456430,248,android,wxpay,2020/3/31 8:11,2020/3/31 8:12
718,28221511,248,ios,applepay,2020/3/31 10:46,2020/4/1 12:06
721,63855163,25,ios,applepay,2020/2/11 9:03,2020/4/1 12:05
725,78271516,68,ios,applepay,2020/4/2 7:11,2020/4/2 7:12
726,48449715,68,ios,applepay,2019/9/12 8:24,2020/4/1 12:03
728,79706619,248,ios,applepay,2019/9/6 8:10,2020/4/1 12:03
731,54072460,248,android,wxpay,2020/1/4 10:04,2020/1/4 10:05
732,71461744,248,ios,applepay,2019/9/16 18:48,2020/4/1 12:03
735,43818951,25,ios,applepay,2020/4/7 7:51,2020/4/7 7:52
737,99373885,25,ios,applepay,2019/11/22 16:52,2019/11/25 16:11
738,14877164,248,android,alipay,2020/6/30 23:38,2020/6/30 23:39
742,92561805,25,ios,applepay,2019/10/5 13:32,2020/4/1 12:04
743,92561805,68,ios,applepay,2020/2/2 22:31,2020/4/1 12:05
745,49229935,68,android,wxpay,2020/1/7 10:25,2020/1/7 10:26
748,27108339,25,android,wxpay,2019/9/19 13:47,2019/9/19 13:48
750,96333231,248,android,wxpay,2019/10/14 11:09,2019/10/14 11:10
753,52535845,248,ios,applepay,2020/1/29 19:29,2020/4/1 12:05
756,67954110,248,ios,applepay,2019/11/10 0:25,2020/4/1 12:04
758,58141088,248,ios,applepay,2019/10/16 19:15,2020/4/1 12:04
759,60060421,25,ios,applepay,2019/8/6 14:41,2020/4/1 12:03
760,60060421,25,ios,applepay,2019/11/7 12:44,2020/4/1 12:04
761,60060421,25,ios,applepay,2020/2/22 21:38,2020/4/1 12:05
764,60792141,68,ios,applepay,2020/1/27 8:41,2020/4/1 12:05
765,99219164,248,android,alipay,2020/4/4 17:41,2020/4/4 17:42
767,59213795,25,android,wxpay,2020/2/11 19:26,2020/2/11 19:27
770,28559521,248,ios,applepay,2020/2/10 21:47,2020/4/1 12:05
773,68130612,25,ios,applepay,2019/10/10 11:19,2020/4/1 12:04
775,68130612,25,ios,applepay,2020/3/26 11:07,2020/4/1 12:06
776,68130612,25,ios,applepay,2020/7/6 13:29,2020/7/6 13:30
777,32686983,248,ios,applepay,2020/2/2 22:26,2020/4/1 12:05
778,106470356,248,ios,applepay,2020/6/22 21:01,2020/6/22 21:02
779,67288492,248,ios,applepay,2019/11/3 15:31,2020/4/1 12:04
780,13876048,248,ios,applepay,2020/3/21 11:43,2020/4/1 12:06
783,26161449,68,android,wxpay,2019/9/26 10:21,2019/9/26 10:22
785,39914530,25,android,wxpay,2019/9/7 22:12,2019/9/7 22:13
789,56707552,25,ios,applepay,2020/2/20 23:29,2020/2/20 23:30
790,107196161,248,ios,applepay,2019/11/10 19:57,2020/4/1 12:04
793,94403588,248,android,wxpay,2020/7/13 22:47,2020/7/13 22:48
799,78337249,248,android,wxpay,2020/3/4 10:53,2020/3/4 10:54
803,70810772,248,ios,applepay,2019/9/9 8:53,2020/4/1 12:03
804,55148717,248,android,alipay,2020/2/9 14:20,2020/2/9 14:21
805,55148717,25,android,wxpay,2019/11/10 23:21,2019/11/10 23:23
806,31520265,25,ios,applepay,2019/8/18 22:19,2020/4/1 12:03
808,11244049,68,ios,applepay,2020/2/19 8:28,2020/4/1 12:05
809,27741954,25,ios,applepay,2019/8/29 22:28,2020/4/1 12:03
812,70013656,68,ios,applepay,2019/9/10 21:39,2020/4/1 12:03
813,98020332,248,ios,applepay,2020/3/28 4:31,2020/4/1 12:06
814,66174821,248,ios,applepay,2019/8/29 8:45,2020/4/1 12:03
815,45774590,248,ios,applepay,2019/10/20 20:31,2019/10/21 11:09
816,56067229,248,android,alipay,2020/2/15 7:22,2020/2/15 7:23
817,103416284,248,android,wxpay,2020/2/1 22:29,2020/2/1 22:30
820,100019776,248,ios,applepay,2020/2/2 9:39,2020/4/1 12:05
825,49425386,248,ios,applepay,2020/3/26 11:51,2020/4/1 12:06
830,68005798,25,ios,applepay,2019/9/18 0:26,2020/4/1 12:03
833,106160703,25,ios,applepay,2020/7/25 22:31,2020/7/25 22:32
834,106160703,25,android,wxpay,2020/1/21 20:34,2020/1/21 20:35
839,99687390,25,android,wxpay,2019/9/12 22:37,2019/9/12 22:38
844,75145407,25,android,wxpay,2020/7/25 0:15,2020/7/25 0:16
846,20907659,68,ios,applepay,2019/11/11 16:22,2020/4/1 12:04
848,12945880,248,ios,applepay,2019/8/25 22:43,2020/4/1 12:03
850,102635936,248,android,wxpay,2020/2/22 12:48,2020/2/22 12:50
851,66057891,248,ios,applepay,2019/12/1 9:51,2019/12/1 9:55
854,13182552,25,ios,applepay,2019/9/23 0:40,2020/4/1 12:04
855,71322651,68,ios,applepay,2019/9/13 3:46,2020/4/1 12:03
856,71322651,248,ios,applepay,2020/3/11 10:43,2020/4/1 12:06
860,89369082,248,android,wxpay,2019/11/11 6:58,2019/11/11 6:59
863,66452714,25,ios,applepay,2020/2/12 10:51,2020/4/1 12:05
866,98107476,248,android,alipay,2019/9/25 20:20,2019/9/25 20:22
867,45570590,25,ios,applepay,2020/3/8 19:09,2020/4/1 12:06
869,106869355,25,ios,applepay,2019/9/23 21:35,2020/4/1 12:04
872,47346533,248,android,alipay,2020/1/1 16:14,2020/1/1 16:15
873,104687393,25,ios,applepay,2020/1/7 22:02,2020/4/1 12:05
874,53483394,248,ios,applepay,2020/2/3 21:19,2020/4/1 12:05
875,31296678,25,android,wxpay,2019/9/22 23:18,2019/9/22 23:19
877,103492710,68,ios,applepay,2020/2/7 10:43,2020/4/1 12:05
880,104917851,68,ios,applepay,2020/7/10 0:00,2020/7/10 0:01
883,56551945,25,ios,applepay,2019/9/19 9:39,2020/4/1 12:03
884,56551945,68,ios,applepay,2020/1/30 9:48,2020/4/1 12:05
890,25193979,248,android,wxpay,2019/12/28 9:59,2019/12/28 10:00
892,105759936,25,ios,applepay,2019/12/17 9:19,2020/4/1 12:05
894,101808203,248,android,wxpay,2019/10/10 0:12,2019/10/10 0:13
898,95386052,248,ios,applepay,2019/8/10 7:39,2019/8/10 14:07
899,74434318,248,android,wxpay,2020/3/3 16:20,2020/3/3 16:21
900,26116935,248,android,alipay,2020/6/8 8:44,2020/6/8 8:45
902,15371899,248,ios,applepay,2019/11/18 17:48,2020/4/1 12:04
904,82239643,25,android,wxpay,2020/6/7 23:38,2020/6/7 23:39
906,37366592,248,android,wxpay,2019/9/20 8:59,2019/9/20 9:00
907,83649391,248,android,alipay,2020/5/17 14:03,2020/5/17 14:04
909,31069679,248,android,wxpay,2019/9/9 7:51,2019/9/9 7:52
911,10477864,248,ios,applepay,2019/12/3 10:48,2020/4/1 12:04
917,52987899,248,android,wxpay,2019/10/4 8:43,2019/10/4 8:44
919,99204868,248,android,wxpay,2019/11/6 19:54,2019/11/6 19:55
926,43227057,248,ios,applepay,2019/9/9 20:00,2020/4/1 12:03
927,100927915,248,android,wxpay,2020/2/18 0:06,2020/2/18 0:07
928,103743671,248,ios,applepay,2019/8/7 8:50,2020/4/1 12:03
934,82797679,25,android,alipay,2019/9/2 20:18,2019/9/2 20:19
935,82797679,25,android,wxpay,2019/12/2 21:39,2019/12/2 21:40
936,38189211,25,ios,applepay,2019/10/23 11:17,2020/4/1 12:04
937,100062973,25,ios,applepay,2019/10/7 10:15,2020/4/1 12:04
938,102908614,68,ios,applepay,2019/9/22 7:28,2020/4/1 12:04
940,85198820,248,android,wxpay,2020/1/18 10:33,2020/1/18 10:34
944,36757725,248,android,alipay,2020/7/31 16:38,2020/7/31 16:39
949,54910414,25,android,wxpay,2020/6/18 10:41,2020/6/18 10:42
950,56156588,25,ios,applepay,2019/9/20 8:18,2020/4/1 12:03
951,56156588,25,ios,applepay,2020/3/30 22:45,2020/4/1 12:06
952,80455740,25,ios,applepay,2020/1/30 9:18,2020/4/1 12:05
955,72172550,248,android,wxpay,2019/9/15 18:22,2019/9/15 18:23
956,55050781,68,android,wxpay,2019/10/19 21:45,2019/10/19 21:46
957,55050781,68,android,wxpay,2020/4/18 19:56,2020/4/18 19:57
958,90293749,68,android,wxpay,2020/2/20 22:32,2020/2/20 22:33
959,66457402,248,ios,applepay,2020/3/15 8:06,2020/4/1 12:06
963,105504237,248,android,wxpay,2019/9/24 22:03,2019/9/24 22:04
968,54280276,25,android,wxpay,2019/10/8 8:10,2019/10/8 8:11
970,46728699,248,ios,applepay,2019/8/19 20:44,2020/4/1 12:03
973,74656233,68,android,wxpay,2019/9/16 9:20,2019/9/16 9:21
974,74741824,25,android,alipay,2019/12/3 10:50,2019/12/3 10:51
976,101828119,248,ios,applepay,2020/7/31 13:57,2020/7/31 13:58
980,48067043,248,ios,applepay,2019/9/22 7:49,2020/4/1 12:04
981,76197217,248,ios,applepay,2020/6/20 14:51,2020/6/20 14:52
982,98838102,68,ios,applepay,2020/7/19 9:55,2020/7/19 9:56
985,104254349,248,android,alipay,2019/11/30 9:09,2019/11/30 9:10
986,49649179,248,ios,applepay,2020/7/18 17:52,2020/7/18 17:53
988,75934639,248,ios,applepay,2019/9/12 19:04,2020/4/1 12:03
993,90324884,25,android,wxpay,2020/7/6 22:23,2020/7/6 22:24
995,71411312,68,android,wxpay,2020/4/11 20:52,2020/4/11 20:53
998,36129326,25,ios,applepay,2019/10/10 8:01,2020/4/1 12:04
999,77877665,248,android,wxpay,2019/9/17 8:36,2019/9/17 8:37
1004,44206353,68,ios,applepay,2019/12/9 10:49,2020/4/1 12:05
1005,44206353,68,ios,applepay,2020/6/10 9:09,2020/6/10 9:10
1006,81033584,25,android,alipay,2020/6/10 6:38,2020/6/10 6:39
1008,77662934,25,android,wxpay,2019/9/11 8:58,2019/9/11 8:59
1017,79077308,25,android,wxpay,2019/9/2 18:20,2019/9/2 18:21
1018,73896744,248,ios,applepay,2020/7/8 8:55,2020/7/8 8:56
1020,79737662,25,android,wxpay,2019/8/9 23:28,2019/8/9 23:29
1021,85106300,248,android,wxpay,2020/3/13 9:48,2020/3/13 9:49
1022,34935469,25,ios,applepay,2019/9/23 20:29,2020/4/1 12:04
1026,29786041,248,android,alipay,2020/2/4 1:09,2020/2/4 1:10
1028,36901937,25,ios,applepay,2020/3/8 17:47,2020/4/1 12:06
1032,67272566,248,ios,applepay,2019/10/22 12:11,2020/4/1 12:04
1033,98553425,25,android,wxpay,2019/10/10 21:32,2019/10/10 21:33
1036,47455481,248,android,alipay,2020/3/8 15:41,2020/3/8 15:42
1037,35749509,25,ios,applepay,2020/7/23 19:32,2020/7/23 19:33
1038,105399272,25,ios,applepay,2020/2/9 12:51,2020/4/1 12:05
1039,105399272,68,ios,applepay,2020/6/6 11:41,2020/6/6 11:42
1041,106255767,25,android,wxpay,2019/9/7 10:03,2019/9/7 10:04
1042,41508379,68,ios,applepay,2019/8/27 13:25,2020/4/1 12:03
